iter	RMSE
234	0.92009761
235	0.9200595312
236	0.9199409225
237	0.9198488325
238	0.9197389574
239	0.9196892092
240	0.9194881401
241	0.91940935
242	0.9192606188
243	0.9191711686
244	0.919060401
245	0.9189956815
246	0.9188698746
247	0.9187803574
248	0.9187165654
249	0.9186642955
250	0.9185880055
251	0.9185377344
252	0.9184076985
253	0.9183064231
254	0.9181601984
255	0.918039419
256	0.9179817605
257	0.9179130012
258	0.9178522628
259	0.917813893
260	0.9177296755
261	0.9176850124
262	0.9176240679
263	0.917544551
264	0.9174202535
265	0.9173686406
266	0.9172947108
267	0.9172064323
268	0.9171026603
269	0.9170609857
270	0.9170131738
271	0.916953767
272	0.9168445041
273	0.9167889839
274	0.9167285639
275	0.9166022855
276	0.9165507601
277	0.9164738969
278	0.9164301784
279	0.9163923548
280	0.9163330362
281	0.916296254
282	0.9162424341
283	0.9161627296
284	0.9161024982
285	0.9160539419
286	0.916011765
287	0.9159000012
288	0.9158322967
289	0.9157974826
290	0.9157405122
291	0.9156657298
292	0.91558811
293	0.9154992258
294	0.9154603359
295	0.9154250207
296	0.9153729388
297	0.9152612279
298	0.9152228875
299	0.9151728034
300	0.9151071411
301	0.9150504661
302	0.9149736119
303	0.9148665459
304	0.9148159619
305	0.9147499747
306	0.9146803279
307	0.9146187753
308	0.914586314
309	0.9145188284
310	0.9144158432
311	0.9143486238
312	0.9142999107
313	0.9142522952
314	0.9141855099
315	0.914146055
316	0.9140732695
317	0.9140364997
318	0.9139654456
319	0.9139127548
320	0.9138461667
321	0.9138140561
322	0.9137775825
323	0.9137435506
324	0.9136884183
325	0.9135904039
326	0.913537806
327	0.9134719677
328	0.9134220403
329	0.9133446796
330	0.9132915386
331	0.9132518713
332	0.9131270635
333	0.9130916023
334	0.9130117179
335	0.9128633508
336	0.9128131047
337	0.9127768694
338	0.9127233609
339	0.9126621596
340	0.9126304727
341	0.912607937
342	0.9125406506
343	0.9124996132
344	0.9124625856
345	0.9124021167
346	0.9123420828
347	0.9122592799
348	0.9121937133
349	0.9121424833
350	0.9120980656
351	0.9120538391
352	0.9119589456
353	0.9119249033
354	0.9118973397
355	0.9118227227
356	0.9117803357
357	0.9117086989
358	0.9116358252
359	0.911559303
360	0.9115110771
361	0.9114636325
362	0.9114093445
363	0.9113409334
364	0.9112685344
365	0.9112350476
366	0.9111907721
367	0.9111657133
368	0.9111242367
369	0.9110907485
370	0.9110422274
371	0.910913797
372	0.9108543266
373	0.9108107479
374	0.9107672846
375	0.9107229752
376	0.91067539
377	0.910647957
378	0.9105853892
379	0.9105115581
380	0.9104760383
381	0.9104475001
382	0.9103889799
383	0.9103344567
384	0.9102939723
385	0.9102433562
386	0.9102134158
387	0.910185561
388	0.9101558695
389	0.9100700267
390	0.9100161603
391	0.9099745041
392	0.9099355721
393	0.9098855999
394	0.9098475219
395	0.909758016
396	0.9096801806
397	0.9096427789
398	0.9095631509
399	0.909528192
400	0.909480697
401	0.90945321
402	0.9093927158
403	0.9093455288
404	0.9092997818
405	0.9092637056
406	0.9091807523
407	0.9091196573
408	0.9090385426
409	0.9089470415
410	0.908877364
411	0.9088335554
412	0.9087119156
413	0.9086800661
414	0.908600267
415	0.9085390681
416	0.9085115353
417	0.9084803412
418	0.908445821
419	0.9084108193
420	0.9083723891
421	0.9083349623
422	0.9083050094
423	0.9082624523
424	0.9082310732
425	0.9081847952
426	0.9081531147
427	0.9081223822
428	0.9080695716
429	0.9080093513
430	0.9079289497
431	0.9078959981
432	0.907848044
433	0.9077879104
434	0.9077579418
435	0.9077229589
436	0.9076835759
437	0.9076537251
438	0.9076221788
439	0.9074989443
440	0.9074620754
441	0.9074258144
442	0.9073953115
443	0.9073696224
444	0.9073355425
445	0.9072310482
446	0.9071987759
447	0.9071569761
448	0.9071008814
449	0.9070846115
450	0.907051716
451	0.9069953256
452	0.9069545366
453	0.9069218376
454	0.906887953
455	0.9068209934
456	0.9067733011
457	0.9067470273
458	0.9066915087
459	0.9066566671
460	0.9066286966
461	0.9065915803
462	0.9065723885
463	0.9065341145
464	0.9064960623
465	0.9064593991
466	0.90642784
467	0.9063907258
468	0.9063563229
469	0.9063072908
470	0.906262918
471	0.906226128
472	0.9061962515
473	0.9061486548
474	0.9061038625
475	0.9060407487
476	0.9059974025
477	0.9059707393
478	0.905914013
479	0.9058452893
480	0.905824422
481	0.9058037342
482	0.9057849929
483	0.9057457701
484	0.9056791267
485	0.9056259277
486	0.9055788621
487	0.9055488627
488	0.9055227523
489	0.9054697821
490	0.9054284289
491	0.9053986351
492	0.9053753841
493	0.9053382178
494	0.9052672312
495	0.9052172762
496	0.9051905097
497	0.905161301
498	0.9051354724
499	0.9050580616
500	0.905009397
501	0.9049663622
502	0.904894996
503	0.9048667671
504	0.9048352291
505	0.9048059193
506	0.9047638765
507	0.9047213572
508	0.9046919609
509	0.9046385886
510	0.9046168588
511	0.9045739879
512	0.9045296795
513	0.9044916299
514	0.9044206503
515	0.9044004147
516	0.9043638962
517	0.904337472
518	0.9043166579
519	0.9042862765
520	0.904258743
521	0.9042388828
522	0.9042099731
523	0.9041578928
524	0.9041173919
525	0.904087285
526	0.9040490374
527	0.9040112843
528	0.9039700109
529	0.9039392455
530	0.9038809106
531	0.9038414025
532	0.9038201925
533	0.9037895142
534	0.9037589894
535	0.9037073481
536	0.9036607571
537	0.9036382624
538	0.9035535238
539	0.9034946273
540	0.90342436
541	0.9034014029
542	0.9033842048
543	0.9033068361
544	0.9032672922
545	0.90322131
546	0.9031753793
547	0.9031451948
548	0.9031159578
549	0.9030805095
550	0.9030370284
551	0.9030033618
552	0.9029818268
553	0.9029613922
554	0.9029244169
555	0.9028935314
556	0.9028418806
557	0.9027877552
558	0.9027661191
559	0.9027297639
560	0.9026991244
561	0.9026547047
562	0.9026201446
563	0.9025944643
564	0.9025414559
565	0.9025083504
566	0.9024704979
567	0.9024230191
568	0.9023887333
569	0.9023616116
570	0.9023357539
571	0.9023092583
572	0.9022685704
573	0.902207712
574	0.9021777157
575	0.9021384176
576	0.9021205811
577	0.9020973889
578	0.9020463033
579	0.9020266631
580	0.90197108
581	0.90193683
582	0.9019115704
583	0.9018846376
584	0.9018496496
585	0.9018042243
586	0.9017674823
587	0.9017219752
588	0.9016886145
589	0.9016719694
590	0.9016345931
591	0.9016011497
592	0.9015656961
593	0.9015417634
594	0.9014904744
595	0.9014634275
596	0.9014446814
597	0.9014108789
598	0.9013793998
599	0.9013401552
600	0.9013145612
601	0.9012929049
602	0.9012684838
603	0.9012477872
604	0.9012210667
605	0.9011973438
606	0.9011677892
607	0.9011283498
608	0.90106236
609	0.901015912
610	0.9009921672
611	0.9009759797
612	0.9009543769
613	0.900921453
614	0.9008857867
615	0.9008611176
616	0.9008321641
617	0.9007964071
618	0.9007755286
619	0.9007555726
620	0.9007339572
621	0.9006956475
622	0.9006756322
623	0.900652223
624	0.9006307985
625	0.9006052293
626	0.9005757752
627	0.9005369937
628	0.9004850484
629	0.9004606371
630	0.9004255323
631	0.900365749
632	0.9003438512
633	0.9003284578
634	0.9002955377
635	0.900252564
636	0.9002323957
637	0.9002057056
638	0.9001772036
639	0.9001402527
640	0.9000751444
641	0.9000559322
642	0.9000202742
643	0.8999850116
644	0.8999594759
645	0.8999400923
646	0.8999095943
647	0.8998686385
648	0.8998348463
649	0.8997982346
650	0.8997475076
651	0.899707656
652	0.8996805305
653	0.8996545847
654	0.8996200661
655	0.8995646862
656	0.8995459215
657	0.8995139445
658	0.8994945867
659	0.8994614948
660	0.8994359273
661	0.899390013
662	0.8993576083
663	0.8993231148
664	0.8992646968
665	0.8992542721
666	0.8992248726
667	0.8992100329
668	0.8991875322
669	0.899164778
670	0.8991260979
671	0.8991070072
672	0.8990641598
673	0.8990415949
674	0.8990048236
675	0.8989818476
676	0.8989539192
677	0.8989357743
678	0.8989044055
679	0.8988849332
680	0.8988556955
681	0.8988273898
682	0.8988009599
683	0.8987846205
684	0.8987629174
685	0.8987434
686	0.8987058223
687	0.8986732493
688	0.8986510289
689	0.8986304985
690	0.8986062902
691	0.8985685551
692	0.8985413714
693	0.8985133267
694	0.898491503
695	0.8984649073
696	0.8984166504
697	0.8983973056
698	0.8983528126
699	0.8983266069
700	0.8982995112
701	0.8982773859
702	0.8982423973
703	0.8981970289
704	0.8981715455
705	0.8981355234
706	0.8981170618
707	0.8980979041
708	0.8980701303
709	0.8980282084
710	0.8979854981
711	0.8979492664
712	0.8979256551
713	0.8979006108
714	0.8978665299
715	0.8978444755
716	0.8978206684
717	0.8977518926
718	0.8977395158
719	0.8977144218
720	0.8976892122
721	0.89766912
722	0.8976481223
723	0.8976231093
724	0.8976054162
725	0.8975773909
726	0.8975426093
727	0.897508493
728	0.8974973982
729	0.8974699366
730	0.8974354468
731	0.8974100042
732	0.8973911594
733	0.8973700504
734	0.8973430205
735	0.8973202502
736	0.8972830626
737	0.8972683258
738	0.8972482776
739	0.8972297895
740	0.8972067982
741	0.8971751261
742	0.8971531179
743	0.8971315486
744	0.8971090081
745	0.8970803098
746	0.8970581757
747	0.8970135004
748	0.8970010262
749	0.8969678071
750	0.8969356284
751	0.8968812554
752	0.8968605332
753	0.896839552
754	0.8968172152
755	0.8967985813
756	0.8967589034
757	0.8967491412
758	0.8967234874
759	0.8966799921
760	0.8966476613
761	0.8966174895
762	0.8965945065
763	0.8965285814
764	0.8964977762
765	0.8964744105
766	0.8964557237
767	0.89643247
768	0.8963995214
769	0.8963814596
770	0.896342788
771	0.8963216859
772	0.8962966511
773	0.8962787802
774	0.896234305
775	0.8961873767
776	0.8961769477
777	0.896158208
778	0.8961352525
779	0.8961078754
780	0.8960808306
781	0.8960525822
782	0.8960355308
783	0.89600951
784	0.8959816538
785	0.8959642771
786	0.8959457236
787	0.8959173724
788	0.8958971195
789	0.8958687355
790	0.8957720558
791	0.8957591219
792	0.895737523
793	0.8957120371
794	0.8956639939
795	0.8956416717
796	0.8956025143
797	0.8955775752
798	0.8955598397
799	0.8955203294
800	0.8955026267
801	0.8954804327
802	0.8954559921
803	0.8954252494
804	0.8953996384
805	0.895372555
806	0.8953450266
807	0.8953110024
808	0.8952840286
809	0.8952624363
810	0.8952249261
811	0.8951803404
812	0.8951395675
813	0.8951177662
814	0.8951047688
815	0.8950789983
816	0.8950554533
817	0.8950304131
818	0.8950025155
819	0.8949723302
820	0.8949487541
821	0.8949316401
822	0.8949135648
823	0.8948889978
824	0.8948696728
825	0.8948477959
826	0.8948320966
827	0.8948175843
828	0.8947943439
829	0.8947755523
830	0.8947592115
831	0.894736209
832	0.8947092496
833	0.8946870912
834	0.8946395522
835	0.8946006081
836	0.8945840768
837	0.8945591288
838	0.8945408939
839	0.8945249183
840	0.8945084858
841	0.8944833955
842	0.8944445519
843	0.8944166488
844	0.8943879398
845	0.8943624392
846	0.8943482104
847	0.8943158958
848	0.8942809564
849	0.8942576137
850	0.8942361295
851	0.8942137374
852	0.8941829251
853	0.8941554483
854	0.8941338141
855	0.8941064971
856	0.8940933843
857	0.8940497859
858	0.8940267599
859	0.8940142369
860	0.8939908853
861	0.893969516
862	0.8939482955
863	0.8939230189
864	0.8939116837
865	0.8938906104
866	0.8938666172
867	0.8938466457
868	0.8938180433
869	0.8937904056
870	0.8937721718
871	0.8937473468
872	0.893721807
873	0.8937055153
874	0.8936873513
875	0.8936635548
876	0.8936417034
877	0.89362446
878	0.8936129387
879	0.8935945666
880	0.8935501952
881	0.8935206333
882	0.8935006076
883	0.8934787083
884	0.8934560289
885	0.8934352576
886	0.8934240717
887	0.8934075422
888	0.8933819806
889	0.893368929
890	0.8933553742
891	0.8933398729
892	0.8933221933
893	0.8933037613
894	0.893284971
895	0.8932517171
896	0.8932025492
897	0.8931820655
898	0.8931421187
899	0.8931279447
900	0.8930950406
901	0.893074336
902	0.8930299093
903	0.8930144392
904	0.8929896305
905	0.8929654512
906	0.892948145
907	0.8929193467
908	0.8928704837
909	0.892854589
910	0.8928221189
911	0.8928019787
912	0.8927816343
913	0.8927730431
914	0.8927364283
915	0.8927140301
916	0.8926953953
917	0.8926749918
918	0.8926550899
919	0.8926228355
920	0.8926000749
921	0.8925754894
922	0.8925365039
923	0.8925098416
924	0.8924979745
925	0.8924593103
926	0.8924359443
927	0.8924210268
928	0.8924007412
929	0.892383998
930	0.892363497
931	0.8923375106
932	0.8923012606
933	0.8922732088
934	0.8922458682
935	0.8922169918
936	0.8921896488
937	0.8921726575
938	0.8921285755
939	0.8921034588
940	0.8920776237
941	0.8920442553
942	0.8920303805
943	0.8920052279
944	0.8919857519
945	0.8919680365
946	0.891939492
947	0.8919135903
948	0.8918953789
949	0.8918713007
950	0.8918402883
951	0.8918082815
952	0.8917537247
953	0.8917294231
954	0.8916605412
955	0.8916405953
956	0.8916189928
957	0.8916008373
958	0.8915802129
959	0.8915620683
960	0.8915045235
961	0.8914925012
962	0.8914788211
963	0.8914565252
964	0.891432994
965	0.8914104589
966	0.8913829154
967	0.8913627219
968	0.8913379571
969	0.8913192266
970	0.8913021521
971	0.8912873161
972	0.8912678651
973	0.891242552
974	0.8912069353
975	0.8911911262
976	0.8911811712
977	0.8911653956
978	0.8911375348
979	0.8911185995
980	0.8911030869
981	0.8910850287
982	0.8910692708
983	0.8910479295
984	0.8910279923
985	0.8910083564
986	0.890997845
987	0.8909742699
988	0.8909545251
989	0.8909295544
990	0.8909142835
991	0.8908713639
992	0.8908485566
993	0.8908225046
994	0.8908043992
995	0.8907781678
996	0.8907521969
997	0.890729193
998	0.8907067194
999	0.890683876
