Time,t2m_obs,rh2m_obs,w10m_obs,t2m_M,rh2m_M,w10m_M
20180901_15,14.6,98.0,2.1,16.073,98.454,3.714
20180901_16,14.6,98.0,1.8,16.046,99.652,3.418
20180901_17,14.3,98.0,2.0,16.412,99.452,2.854
20180901_18,14.5,98.0,1.9,17.125,99.442,3.357
20180901_19,14.7,98.0,3.9,17.326,99.59,3.117
20180901_20,14.9,98.0,4.7,17.321,99.72,3.72
20180901_21,15.4,98.0,3.4,17.341,99.266,3.626
20180901_22,15.4,98.0,2.2,17.458,99.061,2.382
20180901_23,16.1,98.0,1.6,17.576,99.384,2.183
20180901_24,16.7,98.0,3.1,18.198,97.514,1.641
20180901_25,17.4,96.0,3.1,19.293,91.717,1.533
20180901_26,18.8,85.0,5.1,20.44,86.532,1.018
20180901_27,19.1,88.0,2.8,22.038,80.943,1.755
20180901_28,19.5,84.0,4.8,23.431,75.09,2.673
20180901_29,20.6,79.0,6.2,24.367,70.225,2.658
20180901_30,19.5,83.0,7.2,22.322,82.92,4.063
20180901_31,19.8,82.0,5.5,20.359,92.758,3.027
20180901_32,18.1,89.0,7.0,17.619,98.507,1.499
20180901_33,18.1,82.0,4.7,16.861,97.973,0.837
20180901_34,17.4,83.0,4.0,16.668,96.266,0.886
20180901_35,17.0,77.0,3.2,16.372,92.523,0.744
20180901_36,17.1,60.0,3.8,15.866,69.421,0.896
20180902_00,16.7,98.0,3.1,25.658,72.321,1.648
20180902_01,17.4,96.0,3.1,22.937,67.603,2.894
20180902_02,18.8,85.0,5.1,23.717,62.413,2.849
20180902_03,19.1,88.0,2.8,24.185,59.098,3.038
20180902_04,19.5,84.0,4.8,26.257,48.495,3.205
20180902_05,20.6,79.0,6.2,26.699,46.391,1.941
20180902_06,19.5,83.0,7.2,23.257,73.381,4.116
20180902_07,19.8,82.0,5.5,21.089,85.553,3.65
20180902_08,18.1,89.0,7.0,18.371,92.553,1.479
20180902_09,18.1,82.0,4.7,17.963,92.624,0.983
20180902_10,17.4,83.0,4.0,17.772,92.947,0.965
20180902_11,17.0,77.0,3.2,17.633,92.877,1.037
20180902_12,17.1,60.0,3.8,19.124,91.719,1.402
20180902_13,15.6,72.0,3.1,17.01,92.155,0.518
20180902_14,16.0,72.0,4.0,16.376,79.092,1.029
20180902_15,16.2,78.0,4.8,15.79,69.952,0.98
20180902_16,15.7,73.0,5.5,15.008,61.364,1.098
20180902_17,14.5,72.0,1.8,16.749,46.442,3.841
20180902_18,13.8,73.0,3.3,17.963,41.875,5.443
20180902_19,14.7,61.0,6.4,16.761,44.518,5.39
20180902_20,14.6,60.0,7.7,17.736,47.603,5.457
20180902_21,15.1,58.0,4.9,19.386,47.732,7.357
20180902_22,17.0,59.0,4.4,20.334,47.946,9.19
20180902_23,16.4,61.0,4.5,21.778,43.03,9.172
20180902_24,16.6,62.0,7.1,23.254,40.424,8.819
20180902_25,17.7,59.0,6.6,23.791,38.996,9.123
20180902_26,18.2,57.0,3.6,23.771,38.037,9.525
20180902_27,19.1,49.0,9.9,23.582,38.512,9.977
20180902_28,18.5,52.0,6.3,23.463,37.921,10.698
20180902_29,18.8,54.0,5.8,23.224,40.176,10.718
20180902_30,17.9,51.0,9.8,22.043,43.472,11.305
20180902_31,17.0,51.0,7.2,20.892,45.891,9.565
20180902_32,15.4,58.0,7.3,19.768,47.727,8.18
20180902_33,15.4,54.0,4.9,19.522,46.658,9.25
20180902_34,15.1,59.0,7.1,19.217,45.685,9.683
20180902_35,15.0,61.0,6.3,17.487,51.194,6.572
20180902_36,14.9,62.0,7.6,16.663,54.686,5.512
20180903_00,16.6,62.0,7.1,24.882,49.483,5.813
20180903_01,17.7,59.0,6.6,22.683,41.966,7.805
20180903_02,18.2,57.0,3.6,23.134,39.572,8.548
20180903_03,19.1,49.0,9.9,23.328,38.406,9.172
20180903_04,18.5,52.0,6.3,23.324,38.613,8.949
20180903_05,18.8,54.0,5.8,23.051,39.306,8.488
20180903_06,17.9,51.0,9.8,22.025,43.547,7.746
20180903_07,17.0,51.0,7.2,20.551,46.293,6.524
20180903_08,15.4,58.0,7.3,18.926,50.059,6.037
20180903_09,15.4,54.0,4.9,18.41,51.597,7.124
20180903_10,15.1,59.0,7.1,17.902,53.518,7.297
20180903_11,15.0,61.0,6.3,17.576,54.798,7.914
20180903_12,14.9,62.0,7.6,17.411,54.708,8.308
20180903_13,14.6,63.0,7.5,17.205,54.227,9.547
20180903_14,14.0,63.0,6.9,16.641,55.311,9.786
20180903_15,14.0,60.0,6.8,16.198,56.258,9.891
20180903_16,13.8,59.0,5.1,15.982,57.061,9.098
20180903_17,13.1,62.0,8.4,15.806,57.365,9.838
20180903_18,13.0,60.0,5.6,15.646,58.15,10.132
20180903_19,12.9,60.0,3.9,15.278,59.167,8.007
20180903_20,13.6,59.0,5.7,16.214,54.806,8.682
20180903_21,14.3,57.0,6.1,17.702,49.216,9.996
20180903_22,15.8,55.0,4.3,19.287,44.218,8.864
20180903_23,17.7,51.0,4.2,20.98,38.588,7.363
20180903_24,19.3,45.0,4.4,22.665,32.584,6.793
20180903_25,20.1,41.0,8.3,23.837,29.492,6.898
20180903_26,20.9,40.0,6.0,24.556,28.555,7.467
20180903_27,21.3,40.0,5.5,24.695,29.438,8.152
20180903_28,21.8,40.0,5.0,24.462,30.996,8.638
20180903_29,19.6,38.0,8.3,24.012,32.524,8.965
20180903_30,19.6,36.0,8.3,23.051,34.372,9.033
20180903_31,19.6,38.0,6.9,21.577,37.861,9.439
20180903_32,18.5,38.0,6.3,20.73,38.897,8.979
20180903_33,18.1,38.0,4.9,20.064,39.914,9.118
20180903_34,17.8,38.0,5.7,19.811,41.216,9.6
20180903_35,17.4,38.0,4.9,17.511,48.86,4.359
20180903_36,16.6,41.0,5.1,15.565,55.876,1.273
20180904_00,19.3,45.0,4.4,26.992,42.007,4.417
20180904_01,20.1,41.0,8.3,25.526,30.067,5.966
20180904_02,20.9,40.0,6.0,26.193,27.798,6.545
20180904_03,21.3,40.0,5.5,26.431,27.64,6.281
20180904_04,21.8,40.0,5.0,26.397,27.532,6.57
20180904_05,19.6,38.0,8.3,25.952,28.811,6.499
20180904_06,19.6,36.0,8.3,25.132,31.233,5.698
20180904_07,19.6,38.0,6.9,22.256,40.635,3.668
20180904_08,18.5,38.0,6.3,20.056,41.935,4.175
20180904_09,18.1,38.0,4.9,19.955,41.671,4.897
20180904_10,17.8,38.0,5.7,19.45,42.073,5.114
20180904_11,17.4,38.0,4.9,19.149,41.146,4.904
20180904_12,16.6,41.0,5.1,18.311,42.014,4.371
20180904_13,15.5,44.0,4.6,15.348,50.432,2.019
20180904_14,14.2,49.0,3.7,16.519,45.437,3.157
20180904_15,14.6,48.0,3.2,16.035,47.645,2.103
20180904_16,14.6,49.0,2.9,16.405,47.567,2.321
20180904_17,14.4,50.0,3.9,16.317,48.843,2.336
20180904_18,14.7,47.0,4.5,14.313,55.537,2.832
20180904_19,14.0,51.0,5.0,13.948,57.143,2.77
20180904_20,15.3,48.0,4.7,17.848,49.902,2.86
20180904_21,15.6,50.0,3.8,19.871,43.233,1.633
20180904_22,17.4,55.0,1.5,20.816,40.899,1.939
20180904_23,18.8,49.0,2.3,21.905,39.799,2.18
20180904_24,19.4,54.0,2.9,23.701,36.019,2.781
20180904_25,20.7,52.0,2.7,26.649,27.612,2.67
20180904_26,21.4,54.0,4.2,28.37,24.02,2.807
20180904_27,23.1,45.0,3.9,29.004,22.641,4.863
20180904_28,24.0,40.0,4.7,29.1,22.417,4.471
20180904_29,22.2,43.0,5.0,28.735,24.609,4.584
20180904_30,20.8,45.0,6.5,27.29,31.392,4.35
20180904_31,20.1,50.0,4.9,21.915,58.813,0.714
20180904_32,20.0,48.0,5.8,18.709,56.977,1.349
20180904_33,19.3,53.0,3.9,18.14,58.953,1.329
20180904_34,17.8,51.0,3.5,17.608,58.968,2.012
20180904_35,17.5,52.0,7.1,16.976,59.665,1.368
20180904_36,17.5,52.0,2.9,16.56,57.543,1.317
20180905_00,19.4,54.0,2.9,28.358,42.009,3.523
20180905_01,20.7,52.0,2.7,27.029,30.574,4.113
20180905_02,21.4,54.0,4.2,28.204,26.317,5.234
20180905_03,23.1,45.0,3.9,28.99,22.692,4.691
20180905_04,24.0,40.0,4.7,28.844,23.418,5.063
20180905_05,22.2,43.0,5.0,28.682,25.044,4.243
20180905_06,20.8,45.0,6.5,28.188,28.273,2.975
20180905_07,20.1,50.0,4.9,23.759,47.338,1.432
20180905_08,20.0,48.0,5.8,19.936,47.003,1.07
20180905_09,19.3,53.0,3.9,19.234,48.824,0.715
20180905_10,17.8,51.0,3.5,18.889,49.571,0.804
20180905_11,17.5,52.0,7.1,18.144,52.83,0.78
20180905_12,17.5,52.0,2.9,17.276,54.638,0.959
20180905_13,17.0,54.0,2.6,17.282,53.487,1.383
20180905_14,16.5,57.0,4.3,21.4,30.307,8.339
20180905_15,15.9,38.0,9.2,20.049,26.908,8.959
20180905_16,15.4,35.0,8.4,19.194,29.595,9.1
20180905_17,14.7,36.0,5.8,18.204,32.21,9.259
20180905_18,13.0,41.0,4.7,17.545,34.091,9.112
20180905_19,12.4,44.0,3.8,15.854,39.127,8.126
20180905_20,12.2,47.0,6.2,15.037,43.521,9.278
20180905_21,12.7,48.0,6.3,15.236,44.03,11.791
20180905_22,13.1,50.0,4.9,16.69,40.965,11.227
20180905_23,12.3,53.0,3.8,17.42,40.313,9.66
20180905_24,12.2,56.0,1.7,17.797,40.501,9.45
20180905_25,14.9,54.0,5.5,18.492,39.968,9.579
20180905_26,15.4,54.0,5.2,19.288,37.555,9.789
20180905_27,15.5,54.0,5.7,20.56,34.58,8.54
20180905_28,15.4,55.0,4.5,20.156,38.638,9.342
20180905_29,13.8,56.0,10.7,19.382,40.976,8.941
20180905_30,13.8,56.0,7.2,18.283,43.12,9.057
20180905_31,13.5,54.0,8.5,17.107,43.751,7.218
20180905_32,12.9,53.0,6.5,15.927,42.48,6.418
20180905_33,13.4,40.0,5.8,15.544,38.894,6.811
20180905_34,12.9,39.0,5.1,14.312,42.254,5.336
20180905_35,12.3,44.0,3.6,12.611,48.078,3.703
20180905_36,11.4,51.0,4.2,12.648,49.198,3.708
20180906_00,12.2,56.0,1.7,22.246,43.428,5.081
20180906_01,14.9,54.0,5.5,18.073,40.529,6.327
20180906_02,15.4,54.0,5.2,19.166,38.783,9.527
20180906_03,15.5,54.0,5.7,19.668,36.555,8.95
20180906_04,15.4,55.0,4.5,20.482,34.108,7.992
20180906_05,13.8,56.0,10.7,20.477,36.549,8.031
20180906_06,13.8,56.0,7.2,18.596,43.553,8.741
20180906_07,13.5,54.0,8.5,16.976,46.506,7.504
20180906_08,12.9,53.0,6.5,15.826,47.485,6.567
20180906_09,13.4,40.0,5.8,15.618,46.129,6.184
20180906_10,12.9,39.0,5.1,13.798,51.73,4.678
20180906_11,12.3,44.0,3.6,13.367,52.181,4.746
20180906_12,11.4,51.0,4.2,13.312,49.093,4.687
20180906_13,11.0,56.0,4.8,12.934,48.621,4.435
20180906_14,10.3,63.0,5.4,13.788,44.402,5.554
20180906_15,10.1,64.0,5.9,13.202,46.459,5.188
20180906_16,10.3,65.0,5.3,12.526,52.463,5.115
20180906_17,9.9,69.0,6.1,11.961,58.422,5.027
20180906_18,9.7,71.0,6.3,10.239,66.573,3.922
20180906_19,9.4,71.0,8.0,9.996,65.538,3.879
20180906_20,10.1,64.0,6.6,12.739,58.874,4.276
20180906_21,10.8,59.0,7.4,14.721,52.762,6.217
20180906_22,12.5,51.0,7.9,16.581,43.632,7.973
20180906_23,14.4,49.0,5.5,17.865,39.545,8.203
20180906_24,15.6,45.0,7.6,18.807,35.931,8.82
20180906_25,16.2,45.0,3.7,19.637,34.809,8.35
20180906_26,15.7,46.0,5.9,20.309,33.208,7.92
20180906_27,17.4,48.0,5.0,20.48,32.808,7.709
20180906_28,17.3,45.0,6.2,20.215,33.789,7.346
20180906_29,17.0,42.0,5.1,19.894,34.884,6.538
20180906_30,16.1,40.0,6.1,19.306,36.657,5.863
20180906_31,14.7,43.0,4.6,16.846,45.95,3.83
20180906_32,12.9,48.0,4.5,12.382,55.167,2.646
20180906_33,12.3,47.0,4.7,11.535,56.494,2.403
20180906_34,12.0,50.0,4.3,11.065,57.734,2.847
20180906_35,11.7,52.0,6.3,10.865,58.278,3.03
20180906_36,11.3,53.0,4.3,11.369,55.381,3.55
20180907_00,15.6,45.0,7.6,23.292,41.268,3.996
20180907_01,16.2,45.0,3.7,20.913,32.899,5.181
20180907_02,15.7,46.0,5.9,21.582,32.315,6.35
20180907_03,17.4,48.0,5.0,21.313,32.676,7.286
20180907_04,17.3,45.0,6.2,21.018,33.572,7.837
20180907_05,17.0,42.0,5.1,19.982,35.409,8.199
20180907_06,16.1,40.0,6.1,18.859,37.873,7.104
20180907_07,14.7,43.0,4.6,16.811,42.93,4.532
20180907_08,12.9,48.0,4.5,15.281,44.052,4.853
20180907_09,12.3,47.0,4.7,14.313,46.789,4.765
20180907_10,12.0,50.0,4.3,13.292,50.418,4.265
20180907_11,11.7,52.0,6.3,13.632,49.515,4.628
20180907_12,11.3,53.0,4.3,13.433,49.844,4.589
20180907_13,11.4,53.0,6.2,13.704,48.438,4.91
20180907_14,11.2,53.0,7.7,12.477,52.431,4.144
20180907_15,9.9,60.0,5.1,11.856,54.242,4.037
20180907_16,9.9,59.0,5.9,11.261,56.206,3.947
20180907_17,9.4,61.0,4.6,8.845,65.864,2.918
20180907_18,9.0,63.0,4.5,8.816,65.399,3.05
20180907_19,9.7,61.0,4.1,8.572,66.023,3.108
20180907_20,10.3,59.0,3.6,12.617,53.624,2.998
20180907_21,10.6,61.0,3.4,15.072,44.904,2.309
20180907_22,12.2,61.0,1.9,16.436,40.697,1.126
20180907_23,14.8,57.0,1.3,17.44,39.071,2.31
20180907_24,14.8,65.0,2.2,18.242,37.45,2.834
20180907_25,16.5,58.0,3.3,19.233,34.201,2.401
20180907_26,15.7,47.0,3.0,18.673,36.714,2.72
20180907_27,17.6,39.0,2.3,19.44,35.252,3.419
20180907_28,18.5,36.0,4.1,18.84,40.178,4.111
20180907_29,14.8,44.0,2.6,17.18,47.31,2.795
20180907_30,14.7,41.0,3.0,16.159,57.037,0.954
20180907_31,14.2,51.0,2.8,15.103,54.199,0.805
20180907_32,13.6,52.0,2.8,11.76,61.983,0.883
20180907_33,13.5,52.0,2.7,14.495,52.025,0.905
20180907_34,13.3,52.0,2.1,14.435,52.218,1.36
20180907_35,13.2,52.0,2.0,11.333,62.16,1.06
20180907_36,12.9,48.0,2.1,10.904,65.402,1.782
20180908_00,14.8,65.0,2.2,25.114,38.02,0.873
20180908_01,16.5,58.0,3.3,20.577,31.34,2.834
20180908_02,15.7,47.0,3.0,20.16,31.709,2.184
20180908_03,17.6,39.0,2.3,21.091,29.396,2.32
20180908_04,18.5,36.0,4.1,19.901,35.868,2.678
20180908_05,14.8,44.0,2.6,18.678,42.478,2.909
20180908_06,14.7,41.0,3.0,17.336,56.039,0.934
20180908_07,14.2,51.0,2.8,16.167,50.757,0.718
20180908_08,13.6,52.0,2.8,15.308,53.059,0.777
20180908_09,13.5,52.0,2.7,12.452,59.277,1.104
20180908_10,13.3,52.0,2.1,12.154,59.314,0.932
20180908_11,13.2,52.0,2.0,11.701,60.709,1.459
20180908_12,12.9,48.0,2.1,11.573,60.99,1.658
20180908_13,12.7,52.0,2.2,11.323,62.108,1.785
20180908_14,12.4,56.0,3.5,13.723,54.502,1.459
20180908_15,11.9,59.0,3.3,10.627,64.713,0.85
20180908_16,11.5,61.0,1.9,10.347,64.936,0.735
20180908_17,10.9,66.0,3.1,9.945,65.699,0.673
20180908_18,11.2,65.0,2.6,9.579,67.322,0.82
20180908_19,10.9,67.0,2.0,11.794,63.916,0.531
20180908_20,11.6,66.0,0.9,12.258,64.347,0.808
20180908_21,13.6,60.0,0.8,15.271,56.035,1.035
20180908_22,14.9,56.0,1.8,16.891,49.475,1.747
20180908_23,16.3,60.0,1.3,16.928,52.582,2.1
20180908_24,16.5,59.0,2.1,18.222,47.599,2.307
20180908_25,17.2,52.0,3.4,19.482,43.177,2.038
20180908_26,18.7,50.0,2.4,21.411,36.789,3.025
20180908_27,19.2,42.0,2.8,21.486,41.136,4.512
20180908_28,19.5,51.0,2.3,21.008,46.292,4.848
20180908_29,18.5,57.0,1.2,20.908,50.019,4.594
20180908_30,16.9,61.0,2.7,20.672,51.784,4.859
20180908_31,14.8,69.0,3.1,17.993,63.829,2.974
20180908_32,14.4,71.0,3.0,14.053,74.345,1.135
20180908_33,14.3,68.0,2.6,13.811,73.03,1.192
20180908_34,13.9,72.0,3.2,13.327,73.319,1.256
20180908_35,13.8,72.0,3.6,13.037,73.663,1.945
20180908_36,13.5,75.0,3.1,12.744,73.789,2.091
20180909_00,16.5,59.0,2.1,24.822,44.558,2.124
20180909_01,17.2,52.0,3.4,20.671,43.342,2.475
20180909_02,18.7,50.0,2.4,21.979,32.91,2.658
20180909_03,19.2,42.0,2.8,22.824,28.941,2.914
20180909_04,19.5,51.0,2.3,22.552,37.61,4.185
20180909_05,18.5,57.0,1.2,22.071,42.536,4.553
20180909_06,16.9,61.0,2.7,21.146,49.991,4.853
20180909_07,14.8,69.0,3.1,17.896,66.832,2.112
20180909_08,14.4,71.0,3.0,14.572,72.737,1.397
20180909_09,14.3,68.0,2.6,13.952,70.795,1.13
20180909_10,13.9,72.0,3.2,13.729,69.502,1.524
20180909_11,13.8,72.0,3.6,13.385,69.372,1.355
20180909_12,13.5,75.0,3.1,12.91,70.856,1.556
20180909_13,13.1,76.0,2.8,12.234,75.832,1.008
20180909_14,12.7,79.0,4.3,12.295,74.944,1.358
20180909_15,12.3,83.0,4.1,12.212,73.368,1.342
20180909_16,11.9,86.0,2.3,11.787,75.201,1.101
20180909_17,11.5,89.0,2.1,11.532,76.057,0.901
20180909_18,11.8,87.0,2.2,11.399,75.655,1.108
20180909_19,11.9,86.0,1.7,11.258,75.946,1.288
20180909_20,12.7,86.0,1.7,15.332,70.782,1.544
20180909_21,14.4,79.0,1.7,17.298,60.502,2.24
20180909_22,15.1,70.0,1.2,19.016,53.984,3.692
20180909_23,16.1,68.0,1.2,20.494,47.491,5.017
20180909_24,17.3,68.0,1.1,21.337,45.633,5.549
20180909_25,18.7,67.0,1.9,21.883,46.411,6.343
20180909_26,16.8,72.0,1.8,21.329,51.389,6.856
20180909_27,16.4,73.0,3.4,21.331,47.504,7.493
20180909_28,14.9,80.0,3.6,20.939,48.115,7.11
20180909_29,14.4,83.0,3.3,20.296,51.767,4.568
20180909_30,14.4,73.0,2.5,19.627,55.94,3.709
20180909_31,13.3,81.0,3.9,18.781,58.442,2.589
20180909_32,12.6,86.0,4.8,18.467,60.037,3.291
20180909_33,13.3,77.0,2.1,18.077,61.304,2.703
20180909_34,13.6,73.0,1.7,18.26,59.235,4.567
20180909_35,13.6,75.0,1.3,17.727,62.039,3.602
20180909_36,13.5,77.0,1.5,17.048,65.535,2.487
20180910_00,17.3,68.0,1.1,24.831,54.171,2.277
20180910_01,18.7,67.0,1.9,21.976,53.804,5.548
20180910_02,16.8,72.0,1.8,18.259,77.861,5.045
20180910_03,16.4,73.0,3.4,18.605,74.725,5.867
20180910_04,14.9,80.0,3.6,16.117,89.636,3.403
20180910_05,14.4,83.0,3.3,15.449,94.124,2.139
20180910_06,14.4,73.0,2.5,16.247,84.705,4.063
20180910_07,13.3,81.0,3.9,16.506,81.722,2.377
20180910_08,12.6,86.0,4.8,16.435,82.171,1.584
20180910_09,13.3,77.0,2.1,16.196,82.96,1.595
20180910_10,13.6,73.0,1.7,16.288,82.173,1.765
20180910_11,13.6,75.0,1.3,16.141,83.363,2.184
20180910_12,13.5,77.0,1.5,15.8,85.196,2.745
20180910_13,13.4,79.0,2.1,15.601,85.037,3.439
20180910_14,13.0,81.0,2.0,15.254,85.633,2.933
20180910_15,12.8,82.0,3.6,15.069,86.89,2.889
20180910_16,12.6,85.0,3.5,14.543,93.05,2.208
20180910_17,11.2,96.0,3.9,14.127,97.144,2.099
20180910_18,11.5,92.0,2.5,14.228,97.603,2.796
