Time,t2m_obs,rh2m_obs,w10m_obs,t2m_M,rh2m_M,w10m_M
20180902_29,30.4,28.0,5.0,30.984,25.021,5.031
20180902_30,29.4,31.0,3.3,30.378,26.025,5.252
20180902_31,29.1,29.0,4.3,29.32,28.694,5.332
20180902_32,28.1,30.0,3.3,28.625,29.754,4.406
20180902_33,27.3,31.0,1.9,28.213,30.311,4.191
20180902_34,25.4,37.0,0.6,27.758,30.333,3.876
20180902_35,24.5,38.0,0.9,27.132,30.723,3.664
20180902_36,24.5,37.0,1.2,26.785,30.333,3.238
20180903_00,29.4,29.0,5.8,33.153,37.349,3.426
20180903_01,28.9,31.0,5.8,29.533,28.813,4.002
20180903_02,29.1,32.0,6.4,29.838,28.714,4.043
20180903_03,29.9,31.0,4.3,30.413,28.157,4.033
20180903_04,30.5,30.0,4.0,30.374,26.706,4.979
20180903_05,30.4,28.0,5.0,30.069,26.423,4.902
20180903_06,29.4,31.0,3.3,29.757,27.488,4.422
20180903_07,29.1,29.0,4.3,29.152,28.795,3.582
20180903_08,28.1,30.0,3.3,28.275,29.746,4.049
20180903_09,27.3,31.0,1.9,27.527,30.928,4.036
20180903_10,25.4,37.0,0.6,26.762,32.729,3.906
20180903_11,24.5,38.0,0.9,26.108,34.229,4.5
20180903_12,24.5,37.0,1.2,25.617,35.31,3.91
20180903_13,21.0,56.0,0.9,25.257,35.705,3.939
20180903_14,21.3,52.0,0.6,25.007,35.327,3.835
20180903_15,19.3,63.0,0.6,24.505,35.946,3.624
20180903_16,18.9,66.0,1.1,24.026,36.792,3.861
20180903_17,18.7,65.0,0.7,23.871,37.153,3.889
20180903_18,17.9,70.0,0.7,23.614,37.168,3.526
20180903_19,19.8,55.0,1.3,23.321,37.375,3.045
20180903_20,22.8,46.0,2.0,23.723,36.84,3.068
20180903_21,25.3,38.0,2.5,24.527,34.468,3.256
20180903_22,27.2,30.0,3.4,25.448,31.673,3.667
20180903_23,28.0,28.0,3.9,26.354,30.28,3.82
20180903_24,29.1,27.0,4.6,27.896,25.635,3.402
20180903_25,29.5,28.0,1.7,29.463,21.816,3.543
20180903_26,30.2,28.0,5.1,30.628,19.272,3.406
20180903_27,30.9,25.0,2.9,31.258,18.271,3.357
20180903_28,31.1,25.0,5.4,31.711,17.811,3.475
20180903_29,32.0,26.0,2.4,31.949,17.631,3.696
20180903_30,31.2,25.0,4.5,31.512,19.32,3.626
20180903_31,29.7,28.0,2.2,30.569,21.988,3.431
20180903_32,27.5,37.0,1.9,29.516,23.851,3.301
20180903_33,26.0,44.0,1.5,28.372,26.359,2.536
20180903_34,25.5,48.0,1.4,28.035,26.59,2.807
20180903_35,23.9,56.0,1.4,27.757,26.6,2.699
20180903_36,23.9,55.0,0.5,27.104,28.319,2.251
20180904_00,29.1,27.0,4.6,32.985,35.01,2.417
20180904_01,29.5,28.0,1.7,29.48,26.359,2.141
20180904_02,30.2,28.0,5.1,30.276,25.471,1.939
20180904_03,30.9,25.0,2.9,31.757,21.59,2.427
20180904_04,31.1,25.0,5.4,32.523,20.769,2.9
20180904_05,32.0,26.0,2.4,33.017,20.214,2.781
20180904_06,31.2,25.0,4.5,33.079,18.582,2.955
20180904_07,29.7,28.0,2.2,32.156,19.63,2.676
20180904_08,27.5,37.0,1.9,30.589,23.172,1.971
20180904_09,26.0,44.0,1.5,29.461,24.708,1.595
20180904_10,25.5,48.0,1.4,28.79,25.862,1.458
20180904_11,23.9,56.0,1.4,27.57,27.967,0.803
20180904_12,23.9,55.0,0.5,26.728,29.483,0.504
20180904_13,22.0,65.0,0.7,26.581,29.264,0.731
20180904_14,20.5,72.0,,26.15,29.88,1.347
20180904_15,19.5,77.0,1.1,25.874,29.729,1.803
20180904_16,18.8,77.0,0.5,24.178,33.966,1.189
20180904_17,18.2,80.0,0.5,23.58,36.704,1.385
20180904_18,17.9,80.0,,22.883,39.565,1.245
20180904_19,19.0,69.0,1.3,21.802,43.586,1.043
20180904_20,22.4,54.0,1.5,22.604,42.848,0.959
20180904_21,24.7,44.0,1.2,23.743,39.932,0.932
20180904_22,27.4,34.0,2.0,25.216,36.549,1.024
20180904_23,29.1,30.0,1.5,26.427,33.843,0.85
20180904_24,30.8,28.0,1.9,27.762,32.404,1.479
20180904_25,31.6,26.0,2.0,29.119,30.086,1.912
20180904_26,32.5,27.0,4.3,30.54,27.254,2.203
20180904_27,33.1,24.0,3.8,31.9,23.25,2.744
20180904_28,32.5,25.0,3.9,32.33,23.438,2.954
20180904_29,32.6,28.0,5.8,32.161,25.413,3.271
20180904_30,31.0,31.0,4.0,31.951,26.789,3.308
20180904_31,30.3,32.0,3.4,31.422,27.257,3.145
20180904_32,28.6,38.0,3.4,30.351,28.347,2.853
20180904_33,28.0,40.0,2.6,29.822,28.303,2.984
20180904_34,27.4,43.0,3.0,29.065,30.07,3.07
20180904_35,26.8,46.0,3.0,28.447,32.096,3.405
20180904_36,26.2,49.0,2.0,27.585,33.713,3.304
20180905_00,30.8,28.0,1.9,35.381,34.864,0.658
20180905_01,31.6,26.0,2.0,31.726,25.133,2.379
20180905_02,32.5,27.0,4.3,32.832,23.151,3.031
20180905_03,33.1,24.0,3.8,33.432,22.437,3.488
20180905_04,32.5,25.0,3.9,33.623,22.704,3.942
20180905_05,32.6,28.0,5.8,33.334,25.123,4.063
20180905_06,31.0,31.0,4.0,32.931,27.255,3.691
20180905_07,30.3,32.0,3.4,32.209,26.918,3.02
20180905_08,28.6,38.0,3.4,31.14,28.403,3.017
20180905_09,28.0,40.0,2.6,30.615,29.439,3.569
20180905_10,27.4,43.0,3.0,29.914,32.969,3.607
20180905_11,26.8,46.0,3.0,28.949,38.755,3.831
20180905_12,26.2,49.0,2.0,28.297,41.033,4.162
20180905_13,25.2,54.0,1.4,27.346,42.627,4.069
20180905_14,23.9,60.0,0.8,26.182,45.708,3.601
20180905_15,22.3,69.0,0.9,25.314,49.253,1.957
20180905_16,21.0,75.0,,26.982,26.904,2.271
20180905_17,22.8,60.0,1.4,26.318,20.725,2.12
20180905_18,25.0,39.0,2.8,25.617,21.455,2.564
20180905_19,24.9,30.0,1.9,24.982,22.513,2.528
20180905_20,25.6,20.0,4.3,25.185,24.011,3.699
20180905_21,26.2,20.0,6.7,24.065,24.769,5.29
20180905_22,26.2,22.0,5.9,23.494,28.159,4.754
20180905_23,25.9,23.0,4.9,23.846,28.196,4.724
20180905_24,25.8,25.0,5.9,24.544,27.227,5.219
20180905_25,26.0,26.0,7.1,25.472,25.302,5.117
20180905_26,25.9,28.0,4.8,26.205,24.46,4.957
20180905_27,26.3,28.0,4.1,26.497,24.816,4.573
20180905_28,26.8,29.0,4.1,26.601,23.858,4.554
20180905_29,26.6,29.0,5.6,26.927,24.432,3.915
20180905_30,26.5,29.0,3.4,26.623,26.927,3.616
20180905_31,25.4,28.0,4.1,25.814,29.211,4.278
20180905_32,24.6,29.0,4.1,25.031,31.179,4.068
20180905_33,23.5,33.0,2.2,24.517,28.136,4.353
20180905_34,23.2,32.0,3.3,24.15,26.309,3.995
20180905_35,23.2,30.0,2.4,23.789,25.818,4.03
20180905_36,22.9,29.0,1.3,23.45,25.786,3.573
20180906_00,25.8,25.0,5.9,29.968,33.901,4.706
20180906_01,26.0,26.0,7.1,25.77,26.914,4.638
20180906_02,25.9,28.0,4.8,26.207,26.556,5.601
20180906_03,26.3,28.0,4.1,26.471,26.904,4.918
20180906_04,26.8,29.0,4.1,26.632,25.137,4.528
20180906_05,26.6,29.0,5.6,26.508,24.461,4.464
20180906_06,26.5,29.0,3.4,26.59,24.734,3.478
20180906_07,25.4,28.0,4.1,26.281,24.826,3.153
20180906_08,24.6,29.0,4.1,24.744,30.375,4.457
20180906_09,23.5,33.0,2.2,24.165,30.584,4.155
20180906_10,23.2,32.0,3.3,23.883,30.416,3.853
20180906_11,23.2,30.0,2.4,23.733,28.076,4.037
20180906_12,22.9,29.0,1.3,23.328,29.727,3.475
20180906_13,22.3,30.0,1.7,22.934,30.121,2.416
20180906_14,22.0,31.0,1.9,22.496,30.396,2.359
20180906_15,22.6,31.0,2.8,21.91,30.662,1.912
20180906_16,22.0,33.0,2.2,21.894,29.941,2.239
20180906_17,21.1,36.0,1.6,21.366,31.784,2.336
20180906_18,20.6,38.0,1.4,20.968,33.992,2.47
20180906_19,20.1,40.0,2.1,20.248,36.38,2.354
20180906_20,20.7,41.0,2.1,20.44,37.552,2.803
20180906_21,22.8,35.0,2.7,21.127,35.752,3.306
20180906_22,24.0,29.0,3.3,22.19,33.985,3.297
20180906_23,24.7,29.0,2.7,23.068,33.611,3.266
20180906_24,25.7,27.0,2.6,24.061,29.953,2.527
20180906_25,26.6,24.0,4.2,25.326,26.273,2.549
20180906_26,27.3,25.0,3.4,26.185,24.041,2.403
20180906_27,27.1,26.0,2.7,27.19,21.949,3.224
20180906_28,27.3,24.0,4.6,27.579,21.47,3.211
20180906_29,27.3,23.0,5.1,27.689,21.562,3.203
20180906_30,27.9,22.0,3.8,27.412,21.711,3.241
20180906_31,27.0,25.0,1.8,26.671,23.62,2.888
20180906_32,25.2,29.0,1.7,25.924,25.066,2.788
20180906_33,24.9,27.0,2.1,24.895,26.733,2.656
20180906_34,24.1,27.0,3.9,24.426,27.535,3.094
20180906_35,23.5,28.0,2.6,23.286,30.233,2.387
20180906_36,22.7,30.0,1.8,22.299,32.759,1.857
20180907_00,25.7,27.0,2.6,29.812,34.986,2.072
20180907_01,26.6,24.0,4.2,25.114,29.604,2.341
20180907_02,27.3,25.0,3.4,26.345,27.009,2.658
20180907_03,27.1,26.0,2.7,27.138,25.688,2.953
20180907_04,27.3,24.0,4.6,28.127,22.7,2.879
20180907_05,27.3,23.0,5.1,28.127,21.983,3.305
20180907_06,27.9,22.0,3.8,27.645,23.721,3.026
20180907_07,27.0,25.0,1.8,26.242,24.479,3.882
20180907_08,25.2,29.0,1.7,25.082,25.732,3.513
20180907_09,24.9,27.0,2.1,24.391,26.083,3.385
20180907_10,24.1,27.0,3.9,23.676,27.853,2.597
20180907_11,23.5,28.0,2.6,22.782,29.792,1.848
20180907_12,22.7,30.0,1.8,22.482,30.228,1.849
20180907_13,21.7,33.0,1.4,22.028,31.274,2.023
20180907_14,20.6,36.0,1.3,21.69,32.074,2.192
20180907_15,18.9,45.0,1.3,21.17,33.143,2.003
20180907_16,18.8,45.0,0.7,20.597,34.264,2.104
20180907_17,19.9,39.0,1.6,20.007,35.808,1.828
20180907_18,18.3,46.0,0.8,19.551,36.96,1.783
20180907_19,17.6,49.0,0.6,19.132,37.663,1.906
20180907_20,19.6,43.0,2.4,19.509,37.714,2.173
20180907_21,21.3,39.0,3.1,20.123,36.977,2.338
20180907_22,22.9,36.0,2.4,20.827,36.678,1.9
20180907_23,24.3,31.0,3.7,21.566,35.668,1.165
20180907_24,25.6,29.0,2.1,22.122,34.408,0.707
20180907_25,26.3,29.0,2.6,22.783,32.902,0.622
20180907_26,26.3,25.0,2.1,23.432,31.417,0.642
20180907_27,26.3,26.0,1.6,23.979,30.235,0.727
20180907_28,26.8,23.0,0.8,24.531,28.983,1.02
20180907_29,27.2,22.0,0.7,24.977,28.594,1.707
20180907_30,27.1,25.0,3.0,24.987,28.75,1.86
20180907_31,25.7,28.0,1.6,24.451,29.719,1.882
20180907_32,24.3,33.0,1.6,23.515,30.626,1.696
20180907_33,22.5,40.0,1.5,22.75,32.217,1.45
20180907_34,21.5,44.0,1.4,21.877,34.283,1.478
20180907_35,19.4,54.0,0.6,21.221,35.433,1.236
20180907_36,20.1,53.0,2.2,20.218,38.59,1.776
20180908_00,25.6,29.0,2.1,29.703,36.194,2.116
20180908_01,26.3,29.0,2.6,25.238,28.806,1.122
20180908_02,26.3,25.0,2.1,25.697,26.886,0.79
20180908_03,26.3,26.0,1.6,25.92,25.729,0.246
20180908_04,26.8,23.0,0.8,26.306,24.443,0.445
20180908_05,27.2,22.0,0.7,26.647,23.606,0.732
20180908_06,27.1,25.0,3.0,26.672,23.497,0.273
20180908_07,25.7,28.0,1.6,25.893,26.194,1.006
20180908_08,24.3,33.0,1.6,24.993,26.5,1.266
20180908_09,22.5,40.0,1.5,23.647,29.408,0.994
20180908_10,21.5,44.0,1.4,22.08,32.887,0.636
20180908_11,19.4,54.0,0.6,21.504,34.611,1.492
20180908_12,20.1,53.0,2.2,21.132,40.419,1.647
20180908_13,18.9,62.0,1.2,20.265,44.263,1.341
20180908_14,18.4,67.0,1.8,20.307,44.334,1.442
20180908_15,18.3,68.0,1.4,19.982,46.298,1.281
20180908_16,17.5,72.0,1.0,19.653,48.123,1.532
20180908_17,17.1,74.0,0.6,18.035,52.087,1.182
20180908_18,16.2,80.0,0.8,17.607,53.219,1.312
20180908_19,16.2,81.0,1.1,16.863,58.683,1.114
20180908_20,17.0,81.0,1.4,17.823,56.992,1.297
20180908_21,19.2,71.0,0.7,18.587,54.305,1.635
20180908_22,21.7,60.0,1.2,20.93,53.067,1.665
20180908_23,23.8,53.0,1.3,23.008,49.906,2.264
20180908_24,23.8,49.0,1.3,25.015,43.069,2.466
20180908_25,25.2,43.0,2.8,26.287,37.872,2.762
20180908_26,25.7,42.0,3.0,27.016,35.339,2.718
20180908_27,26.9,40.0,2.8,27.523,33.36,2.653
20180908_28,27.7,39.0,2.0,27.482,33.007,2.548
20180908_29,27.9,34.0,3.8,27.16,33.819,2.436
20180908_30,26.9,38.0,3.7,27.28,34.452,2.515
20180908_31,25.9,42.0,2.1,26.631,37.19,1.907
20180908_32,24.6,48.0,1.8,25.304,40.34,1.842
20180908_33,23.3,53.0,1.3,24.258,41.248,1.542
20180908_34,23.1,52.0,1.7,23.383,42.114,1.956
20180908_35,21.4,60.0,1.2,21.588,51.546,2.164
20180908_36,20.0,68.0,1.3,21.003,55.658,2.642
20180909_00,23.8,49.0,1.3,29.687,46.104,0.22
20180909_01,25.2,43.0,2.8,24.328,48.641,1.213
20180909_02,25.7,42.0,3.0,25.932,43.156,1.472
20180909_03,26.9,40.0,2.8,27.036,37.075,1.279
20180909_04,27.7,39.0,2.0,28.133,29.468,1.249
20180909_05,27.9,34.0,3.8,28.702,25.709,1.544
20180909_06,26.9,38.0,3.7,28.787,25.802,1.98
20180909_07,25.9,42.0,2.1,28.049,27.181,2.067
20180909_08,24.6,48.0,1.8,26.578,30.083,1.454
20180909_09,23.3,53.0,1.3,24.791,34.808,1.042
20180909_10,23.1,52.0,1.7,23.77,37.53,0.963
20180909_11,21.4,60.0,1.2,23.034,41.162,2.318
20180909_12,20.0,68.0,1.3,21.778,47.251,1.88
20180909_13,20.0,67.0,0.9,20.858,51.449,1.265
20180909_14,19.5,68.0,0.7,20.173,53.194,1.527
20180909_15,18.6,72.0,1.5,19.356,55.751,1.601
20180909_16,18.4,72.0,1.6,18.391,61.234,1.05
20180909_17,17.8,81.0,1.6,17.558,67.543,0.427
20180909_18,17.3,86.0,1.4,17.583,67.025,0.823
20180909_19,16.9,86.0,1.7,16.952,69.06,0.883
20180909_20,17.3,84.0,1.6,17.418,68.397,1.09
20180909_21,19.3,74.0,1.2,18.334,67.778,0.894
20180909_22,20.9,65.0,1.3,20.416,58.166,0.709
20180909_23,23.2,55.0,1.5,22.652,47.778,0.417
20180909_24,25.1,46.0,1.3,23.941,43.032,1.4
20180909_25,26.3,40.0,1.2,26.13,37.113,2.252
20180909_26,27.9,34.0,1.9,28.357,32.435,3.038
20180909_27,28.1,33.0,3.3,28.872,31.864,3.313
20180909_28,26.6,35.0,2.7,28.155,29.122,3.601
20180909_29,26.7,40.0,1.5,27.787,30.335,3.177
20180909_30,25.9,43.0,1.6,27.583,30.806,2.718
20180909_31,25.5,44.0,1.3,26.731,34.24,1.691
20180909_32,24.4,49.0,1.2,26.338,35.416,1.58
20180909_33,23.6,53.0,0.7,24.674,42.355,1.616
20180909_34,23.2,56.0,1.0,24.659,46.503,1.566
20180909_35,23.5,53.0,2.3,23.712,47.02,2.394
20180909_36,22.6,56.0,1.6,23.011,48.161,2.236
20180910_00,25.1,46.0,1.3,30.893,45.679,0.152
20180910_01,26.3,40.0,1.2,25.694,47.984,2.029
20180910_02,27.9,34.0,1.9,27.433,37.243,2.617
20180910_03,28.1,33.0,3.3,28.359,32.387,3.023
20180910_04,26.6,35.0,2.7,28.691,30.849,2.998
20180910_05,26.7,40.0,1.5,28.287,31.281,2.924
20180910_06,25.9,43.0,1.6,27.707,33.423,2.786
20180910_07,25.5,44.0,1.3,26.673,38.191,2.662
20180910_08,24.4,49.0,1.2,24.888,51.929,3.03
20180910_09,23.6,53.0,0.7,24.399,49.828,2.591
20180910_10,23.2,56.0,1.0,24.652,45.532,2.083
20180910_11,23.5,53.0,2.3,24.156,47.33,2.345
20180910_12,22.6,56.0,1.6,23.97,49.165,2.391
20180910_13,21.9,58.0,1.7,23.671,52.423,2.265
20180910_14,20.7,64.0,1.3,22.713,56.464,2.22
20180910_15,20.4,65.0,1.2,22.558,60.306,1.848
20180910_16,20.8,63.0,2.1,21.672,60.705,1.477
20180910_17,20.7,64.0,2.0,21.217,61.469,1.38
20180910_18,20.5,64.0,2.1,20.835,66.282,1.11
20180910_19,20.2,66.0,0.8,20.865,61.275,1.267
