Time,t2m_obs,rh2m_obs,w10m_obs,t2m_M,rh2m_M,w10m_M
20180830_00,20.3,88.0,0.6,22.394,79.945,0.592
20180830_01,22.1,83.0,2.3,21.767,81.841,0.527
20180830_02,24.3,74.0,2.0,22.289,79.825,0.985
20180830_03,26.5,60.0,2.9,23.487,75.489,2.632
20180830_04,27.6,52.0,4.9,24.688,69.125,1.299
20180830_05,28.4,49.0,4.7,25.686,62.281,1.014
20180830_06,28.0,50.0,3.7,25.267,65.552,1.499
20180830_07,24.9,60.0,2.9,22.816,74.448,1.641
20180830_08,22.9,74.0,2.8,21.817,79.11,2.75
20180830_09,21.7,79.0,2.1,20.901,77.964,1.48
20180830_10,20.1,83.0,1.6,21.043,76.103,0.632
20180830_11,18.7,87.0,0.8,20.747,77.068,0.25
20180830_12,17.7,91.0,1.5,19.178,82.467,0.494
20180830_13,16.9,93.0,1.2,18.566,85.98,1.114
20180830_14,16.5,94.0,1.0,17.772,88.916,1.279
20180830_15,16.0,94.0,0.6,17.643,87.353,1.32
20180830_16,15.9,95.0,1.2,17.208,85.045,1.268
20180830_17,15.8,95.0,0.9,16.74,84.611,0.85
20180830_18,15.9,95.0,0.7,16.6,86.77,0.817
20180830_19,16.1,96.0,0.4,16.307,87.782,0.582
20180830_20,16.3,96.0,0.4,19.674,75.189,0.438
20180830_21,18.6,88.0,2.0,21.668,69.503,1.382
20180830_22,20.1,82.0,1.3,23.59,58.9,2.349
20180830_23,23.0,67.0,1.0,24.855,54.897,2.353
20180830_24,25.4,58.0,1.0,25.871,51.354,1.769
20180830_25,27.5,52.0,2.8,26.58,49.469,0.493
20180830_26,30.1,43.0,2.1,27.107,47.771,0.631
20180830_27,29.8,44.0,3.0,27.54,45.575,1.278
20180830_28,29.5,43.0,4.2,27.81,43.41,1.716
20180830_29,30.3,41.0,4.7,27.522,46.032,2.702
20180830_30,28.7,47.0,3.4,26.5,54.483,2.725
20180830_31,26.9,50.0,1.8,24.128,65.623,2.443
20180830_32,24.6,57.0,2.1,20.887,72.372,1.466
20180830_33,21.9,69.0,1.2,20.206,74.004,1.302
20180830_34,20.2,78.0,0.9,19.682,75.124,0.752
20180830_35,19.0,83.0,1.2,19.14,76.607,0.793
20180830_36,17.8,87.0,1.0,18.82,77.256,0.33
20180831_00,25.4,58.0,1.0,28.804,57.547,0.714
20180831_01,27.5,52.0,2.8,26.367,58.376,1.701
20180831_02,30.1,43.0,2.1,27.221,50.846,1.846
20180831_03,29.8,44.0,3.0,27.38,48.885,1.49
20180831_04,29.5,43.0,4.2,27.651,47.305,1.054
20180831_05,30.3,41.0,4.7,27.621,47.245,2.007
20180831_06,28.7,47.0,3.4,26.503,56.845,3.185
20180831_07,26.9,50.0,1.8,24.393,69.605,2.169
20180831_08,24.6,57.0,2.1,21.463,75.267,1.993
20180831_09,21.9,69.0,1.2,20.439,78.952,1.058
20180831_10,20.2,78.0,0.9,19.846,80.26,1.257
20180831_11,19.0,83.0,1.2,19.451,81.375,1.112
20180831_12,17.8,87.0,1.0,19.135,81.279,0.473
20180831_13,17.2,90.0,0.7,18.64,82.111,0.607
20180831_14,16.6,92.0,1.0,18.402,81.95,0.85
20180831_15,16.3,93.0,0.6,17.983,84.707,0.758
20180831_16,15.9,94.0,1.1,17.686,86.936,0.702
20180831_17,15.7,94.0,0.8,18.011,86.49,0.789
20180831_18,15.4,95.0,1.4,17.11,88.852,0.409
20180831_19,15.2,95.0,1.0,16.687,90.332,0.312
20180831_20,16.1,95.0,1.3,18.923,85.292,0.607
20180831_21,18.0,84.0,0.8,20.263,79.896,0.693
20180831_22,20.6,77.0,1.0,20.594,78.425,0.707
20180831_23,23.3,68.0,1.3,21.422,74.307,0.577
20180831_24,24.8,67.0,2.0,22.273,68.198,0.845
20180831_25,26.5,58.0,5.8,23.794,55.609,2.387
20180831_26,25.6,59.0,5.1,25.443,46.188,4.337
20180831_27,24.9,63.0,3.7,25.051,51.709,4.42
20180831_28,24.3,67.0,1.8,24.486,61.06,4.022
20180831_29,23.9,67.0,4.0,23.089,70.287,2.98
20180831_30,23.6,67.0,3.5,21.422,79.625,1.392
20180831_31,23.3,69.0,2.0,20.948,81.926,0.45
20180831_32,22.0,80.0,1.4,20.426,85.979,0.358
20180831_33,20.3,91.0,1.8,19.721,91.005,0.807
20180831_34,20.0,93.0,,19.296,92.661,0.345
20180831_35,19.8,94.0,0.9,18.991,94.587,0.328
20180831_36,19.7,95.0,1.0,18.789,96.62,0.365
20180901_00,24.8,67.0,2.0,27.444,60.932,1.609
20180901_01,26.5,58.0,5.8,24.937,56.936,4.489
20180901_02,25.6,59.0,5.1,25.019,58.579,4.508
20180901_03,24.9,63.0,3.7,24.472,62.196,4.104
20180901_04,24.3,67.0,1.8,23.719,67.873,3.061
20180901_05,23.9,67.0,4.0,22.416,78.221,1.343
20180901_06,23.6,67.0,3.5,22.447,72.115,2.598
20180901_07,23.3,69.0,2.0,21.002,89.355,0.935
20180901_08,22.0,80.0,1.4,20.514,92.915,0.817
20180901_09,20.3,91.0,1.8,20.39,93.255,1.297
20180901_10,20.0,93.0,,20.439,90.041,2.692
20180901_11,19.8,94.0,0.9,20.481,88.182,3.613
20180901_12,19.7,95.0,1.0,20.023,90.495,2.286
20180901_13,19.5,95.0,1.2,19.464,87.466,2.46
20180901_14,19.4,96.0,1.5,18.68,92.129,1.404
20180901_15,18.8,92.0,2.5,18.805,93.592,1.464
20180901_16,18.4,92.0,1.8,18.856,95.172,1.986
20180901_17,18.2,93.0,4.7,18.581,93.972,3.532
20180901_18,17.7,94.0,3.3,19.133,94.72,2.892
20180901_19,17.9,95.0,2.4,19.162,94.347,3.433
20180901_20,18.1,95.0,0.9,19.427,93.954,2.664
20180901_21,19.6,94.0,1.7,19.568,93.994,3.164
20180901_22,22.5,79.0,2.8,19.351,94.015,4.069
20180901_23,23.0,76.0,3.1,19.312,93.808,3.283
20180901_24,24.7,71.0,4.8,19.576,93.821,2.432
20180901_25,25.7,71.0,4.8,20.341,90.731,2.074
20180901_26,25.0,70.0,7.0,21.622,86.623,1.719
20180901_27,24.9,72.0,4.9,23.291,79.973,1.546
20180901_28,23.0,80.0,6.4,24.013,76.937,1.889
20180901_29,22.6,82.0,4.2,24.119,77.353,3.429
20180901_30,23.1,79.0,5.1,23.259,81.979,3.441
20180901_31,21.9,84.0,3.5,21.805,86.739,2.365
20180901_32,21.1,88.0,2.6,20.32,90.903,2.996
20180901_33,20.7,91.0,4.3,19.692,93.083,1.733
20180901_34,20.0,93.0,1.0,18.54,94.735,0.6
20180901_35,19.4,95.0,1.0,18.107,95.318,2.135
20180901_36,19.2,95.0,0.8,17.602,91.453,0.717
20180902_00,24.7,71.0,4.8,26.902,69.031,2.043
20180902_01,25.7,71.0,4.8,24.313,72.81,2.641
20180902_02,25.0,70.0,7.0,25.032,68.705,3.03
20180902_03,24.9,72.0,4.9,25.577,67.002,4.255
20180902_04,23.0,80.0,6.4,25.206,69.517,4.283
20180902_05,22.6,82.0,4.2,25.775,68.842,4.356
20180902_06,23.1,79.0,5.1,24.688,75.227,5.57
20180902_07,21.9,84.0,3.5,23.382,80.478,4.191
20180902_08,21.1,88.0,2.6,21.982,82.951,3.734
20180902_09,20.7,91.0,4.3,21.305,83.063,2.8
20180902_10,20.0,93.0,1.0,22.006,80.516,2.408
20180902_11,19.4,95.0,1.0,21.677,83.024,2.417
20180902_12,19.2,95.0,0.8,21.433,86.563,2.312
20180902_13,19.2,95.0,0.7,20.498,91.018,1.612
20180902_14,19.3,96.0,,18.705,92.936,1.1
20180902_15,19.5,96.0,,18.421,91.549,1.48
20180902_16,19.5,96.0,0.9,17.675,87.486,1.263
20180902_17,18.7,95.0,1.9,17.099,66.338,1.961
20180902_18,17.5,95.0,1.4,15.57,67.09,0.482
20180902_19,16.3,95.0,2.0,15.545,58.622,1.166
20180902_20,16.9,94.0,1.0,19.13,68.192,1.371
20180902_21,19.5,78.0,1.3,22.355,52.307,2.391
20180902_22,23.2,55.0,2.9,23.747,45.524,4.937
20180902_23,25.6,39.0,3.6,25.198,40.713,5.051
20180902_24,26.4,43.0,5.0,26.319,37.967,5.872
20180902_25,25.1,43.0,3.6,26.856,37.173,6.502
20180902_26,27.5,38.0,2.3,26.811,36.797,6.809
20180902_27,26.6,35.0,4.9,26.745,37.083,6.386
20180902_28,26.3,38.0,3.2,26.869,37.206,5.871
20180902_29,27.9,32.0,5.2,26.077,41.105,5.668
20180902_30,27.0,34.0,2.4,24.783,47.309,3.546
20180902_31,25.6,34.0,3.9,21.691,66.872,1.537
20180902_32,23.3,41.0,1.4,18.921,59.167,1.145
20180902_33,20.7,52.0,2.8,17.559,61.378,1.877
20180902_34,18.3,64.0,3.3,17.163,58.2,2.048
20180902_35,15.9,78.0,1.7,16.797,58.484,1.916
20180902_36,15.1,81.0,1.2,16.603,58.761,1.171
20180903_00,26.4,43.0,5.0,27.17,46.759,2.636
20180903_01,25.1,43.0,3.6,25.271,42.499,4.464
20180903_02,27.5,38.0,2.3,24.796,47.107,2.962
20180903_03,26.6,35.0,4.9,26.022,38.354,6.142
20180903_04,26.3,38.0,3.2,25.657,38.801,6.776
20180903_05,27.9,32.0,5.2,25.486,39.691,5.611
20180903_06,27.0,34.0,2.4,24.448,45.692,3.913
20180903_07,25.6,34.0,3.9,21.43,65.868,1.376
20180903_08,23.3,41.0,1.4,18.006,62.676,0.851
20180903_09,20.7,52.0,2.8,17.135,61.399,1.89
20180903_10,18.3,64.0,3.3,17.062,59.867,2.749
20180903_11,15.9,78.0,1.7,16.636,61.624,2.783
20180903_12,15.1,81.0,1.2,16.739,60.351,3.048
20180903_13,14.1,85.0,1.2,15.665,62.222,2.516
20180903_14,13.2,89.0,1.7,15.271,62.486,2.582
20180903_15,12.8,92.0,1.6,14.794,64.532,2.301
20180903_16,12.1,93.0,1.1,14.562,65.573,2.597
20180903_17,11.4,94.0,1.5,14.824,63.862,3.032
20180903_18,11.0,94.0,1.1,14.151,65.203,2.948
20180903_19,10.8,95.0,0.6,13.993,65.01,2.95
20180903_20,12.5,93.0,0.8,17.032,61.842,2.886
20180903_21,14.9,84.0,0.9,20.556,45.88,4.089
20180903_22,19.1,71.0,0.7,21.677,42.603,5.254
20180903_23,25.5,41.0,1.8,23.064,38.53,5.494
20180903_24,27.4,39.0,1.6,24.445,35.188,5.801
20180903_25,28.1,31.0,2.0,25.425,32.568,5.991
20180903_26,29.3,26.0,2.3,26.253,30.847,6.144
20180903_27,30.6,22.0,0.3,26.572,30.288,5.883
20180903_28,,,,26.495,31.161,5.656
20180903_29,29.6,26.0,4.4,25.934,34.35,5.415
20180903_30,28.9,26.0,3.4,24.821,40.131,3.783
20180903_31,27.4,29.0,1.9,21.045,58.303,2.181
20180903_32,23.5,44.0,3.6,18.639,53.568,2.633
20180903_33,21.0,53.0,1.3,18.259,49.325,3.108
20180903_34,18.0,70.0,1.0,17.212,51.92,2.67
20180903_35,16.5,74.0,1.2,17.67,52.026,2.083
20180903_36,15.2,77.0,1.9,17.331,52.826,2.792
20180904_00,27.4,39.0,1.6,28.045,42.556,1.3
20180904_01,28.1,31.0,2.0,27.613,31.25,1.917
20180904_02,29.3,26.0,2.3,28.584,29.431,1.472
20180904_03,30.6,22.0,0.3,29.178,28.572,3.37
20180904_04,,,,28.678,29.681,4.852
20180904_05,29.6,26.0,4.4,28.178,31.549,4.409
20180904_06,28.9,26.0,3.4,26.913,40.022,2.992
20180904_07,27.4,29.0,1.9,23.099,57.996,2.024
20180904_08,23.5,44.0,3.6,20.21,52.775,2.039
20180904_09,21.0,53.0,1.3,20.607,44.757,3.175
20180904_10,18.0,70.0,1.0,19.659,44.746,3.045
20180904_11,16.5,74.0,1.2,19.386,43.504,3.084
20180904_12,15.2,77.0,1.9,18.752,45.178,2.565
20180904_13,14.1,83.0,0.9,17.778,48.685,1.786
20180904_14,13.5,86.0,1.0,16.889,52.516,1.259
20180904_15,13.0,88.0,0.9,15.992,56.04,0.941
20180904_16,12.5,90.0,1.3,16.485,55.987,1.113
20180904_17,12.5,90.0,1.0,15.778,56.38,1.833
20180904_18,12.3,92.0,0.9,15.415,57.133,2.42
20180904_19,12.1,93.0,1.5,14.833,59.168,1.805
20180904_20,12.8,91.0,1.0,18.41,68.144,1.061
20180904_21,16.3,72.0,1.0,20.84,47.341,0.341
20180904_22,20.7,59.0,1.3,22.661,44.273,0.591
20180904_23,23.7,49.0,1.3,24.474,41.217,1.14
20180904_24,27.7,39.0,2.2,26.792,35.168,1.843
20180904_25,29.1,35.0,3.2,28.188,32.156,2.472
20180904_26,31.3,32.0,3.5,29.145,31.23,2.42
20180904_27,32.4,28.0,3.7,30.612,27.217,2.05
20180904_28,32.7,28.0,6.2,30.085,32.317,4.327
20180904_29,30.7,28.0,6.2,27.772,41.906,5.217
20180904_30,28.6,38.0,4.7,26.427,46.47,4.122
20180904_31,27.7,40.0,2.9,23.855,52.935,3.417
20180904_32,25.2,47.0,1.3,22.743,45.754,3.047
20180904_33,22.3,58.0,4.1,20.93,52.836,2.123
20180904_34,21.9,60.0,1.6,20.204,55.102,1.413
20180904_35,20.7,65.0,0.9,19.798,55.443,1.023
20180904_36,20.3,69.0,1.8,19.456,54.952,0.878
20180905_00,27.7,39.0,2.2,28.798,45.227,1.373
20180905_01,29.1,35.0,3.2,29.085,33.622,1.394
20180905_02,31.3,32.0,3.5,30.44,29.148,3.912
20180905_03,32.4,28.0,3.7,30.727,28.517,4.618
20180905_04,32.7,28.0,6.2,31.018,27.578,4.872
20180905_05,30.7,28.0,6.2,30.774,29.829,3.43
20180905_06,28.6,38.0,4.7,27.576,45.604,2.923
20180905_07,27.7,40.0,2.9,25.659,50.019,3.883
20180905_08,25.2,47.0,1.3,22.726,50.458,2.828
20180905_09,22.3,58.0,4.1,22.622,50.039,1.519
20180905_10,21.9,60.0,1.6,21.576,50.35,1.29
20180905_11,20.7,65.0,0.9,21.289,49.07,1.217
20180905_12,20.3,69.0,1.8,21.011,47.544,1.736
20180905_13,19.0,75.0,,20.26,50.661,1.716
20180905_14,17.0,83.0,1.1,18.682,56.306,0.904
20180905_15,16.0,83.0,1.6,17.907,48.036,1.741
20180905_16,14.9,90.0,1.4,17.585,36.872,2.996
20180905_17,14.3,91.0,0.3,16.623,39.509,2.859
20180905_18,13.5,92.0,0.8,15.836,40.615,1.52
20180905_19,12.8,94.0,1.0,15.014,42.532,1.006
20180905_20,13.6,89.0,1.1,17.766,58.427,1.249
20180905_21,18.5,55.0,3.0,18.924,42.872,2.117
20180905_22,20.9,33.0,7.3,19.845,41.22,2.895
20180905_23,22.2,33.0,4.5,20.705,39.725,5.113
20180905_24,22.8,34.0,3.2,21.178,38.682,6.282
20180905_25,23.7,34.0,3.8,21.861,37.42,5.783
20180905_26,23.5,31.0,4.4,22.244,34.39,6.782
20180905_27,24.0,30.0,2.3,22.321,38.165,7.134
20180905_28,22.9,34.0,2.9,21.854,42.188,7.467
20180905_29,23.0,32.0,4.4,21.755,43.673,6.992
20180905_30,22.5,36.0,4.2,20.607,47.187,5.902
20180905_31,21.5,36.0,2.0,18.241,57.129,2.742
20180905_32,20.0,40.0,2.0,15.276,55.236,2.699
20180905_33,16.5,55.0,2.4,15.139,47.937,3.01
20180905_34,14.7,62.0,1.3,13.768,49.648,2.54
20180905_35,13.3,67.0,2.3,13.63,48.26,2.684
20180905_36,12.4,74.0,0.8,13.297,49.433,2.163
20180906_00,22.8,34.0,3.2,23.954,41.789,3.479
20180906_01,23.7,34.0,3.8,22.197,35.691,5.744
20180906_02,23.5,31.0,4.4,21.744,36.978,5.58
20180906_03,24.0,30.0,2.3,22.487,35.096,5.949
20180906_04,22.9,34.0,2.9,22.592,35.623,6.183
20180906_05,23.0,32.0,4.4,22.342,38.975,7.282
20180906_06,22.5,36.0,4.2,20.966,45.139,5.357
20180906_07,21.5,36.0,2.0,17.978,59.334,2.469
20180906_08,20.0,40.0,2.0,15.346,56.569,2.32
20180906_09,16.5,55.0,2.4,14.923,52.861,2.621
20180906_10,14.7,62.0,1.3,14.479,49.143,2.525
20180906_11,13.3,67.0,2.3,15.689,43.862,3.489
20180906_12,12.4,74.0,0.8,14.323,48.994,3.246
20180906_13,11.5,75.0,0.7,14.114,49.416,2.981
20180906_14,10.9,77.0,0.3,13.153,52.156,2.458
20180906_15,11.3,78.0,0.7,13.255,54.966,2.939
20180906_16,12.2,73.0,1.5,13.84,55.083,3.305
20180906_17,11.9,81.0,,12.293,60.159,2.907
20180906_18,11.3,85.0,1.2,12.094,59.607,2.957
20180906_19,10.2,88.0,1.4,12.017,57.888,3.149
20180906_20,11.7,80.0,2.0,14.948,55.776,2.724
20180906_21,15.8,64.0,1.4,17.43,47.932,2.617
20180906_22,19.8,52.0,1.2,19.042,41.828,4.057
20180906_23,23.5,33.0,2.8,20.331,38.841,3.767
20180906_24,24.3,29.0,1.9,21.549,35.7,4.103
20180906_25,24.5,28.0,2.8,22.483,33.843,4.484
20180906_26,25.4,27.0,3.7,23.162,33.033,4.551
20180906_27,24.7,31.0,3.9,23.528,32.534,4.836
20180906_28,27.2,27.0,2.6,23.211,33.462,5.241
20180906_29,24.5,27.0,4.2,22.604,35.535,5.407
20180906_30,24.3,30.0,2.0,21.309,39.963,4.931
20180906_31,22.7,30.0,2.6,18.547,48.167,3.675
20180906_32,20.0,37.0,2.3,15.296,53.508,2.75
20180906_33,17.6,46.0,2.8,14.376,54.171,2.492
20180906_34,15.2,55.0,1.7,13.983,52.827,2.262
20180906_35,12.7,69.0,1.8,13.463,53.178,1.635
20180906_36,11.7,74.0,1.0,13.419,51.59,2.552
20180907_00,24.3,29.0,1.9,25.068,40.195,1.688
20180907_01,24.5,28.0,2.8,22.946,35.359,3.011
20180907_02,25.4,27.0,3.7,24.111,32.384,4.02
20180907_03,24.7,31.0,3.9,24.437,31.604,4.611
20180907_04,27.2,27.0,2.6,23.109,36.181,4.183
20180907_05,24.5,27.0,4.2,23.418,34.987,4.942
20180907_06,24.3,30.0,2.0,22.146,40.36,3.176
20180907_07,22.7,30.0,2.6,18.587,50.022,3.359
20180907_08,20.0,37.0,2.3,16.159,47.638,2.896
20180907_09,17.6,46.0,2.8,14.774,52.677,2.153
20180907_10,15.2,55.0,1.7,14.453,51.233,2.367
20180907_11,12.7,69.0,1.8,14.245,50.816,2.641
20180907_12,11.7,74.0,1.0,14.808,48.172,3.168
20180907_13,10.7,78.0,1.4,13.418,52.85,2.689
20180907_14,10.1,80.0,0.4,13.112,54.279,2.788
20180907_15,9.2,84.0,1.7,12.357,56.512,2.493
20180907_16,8.5,87.0,1.2,10.914,61.364,0.95
20180907_17,7.8,89.0,1.0,10.468,62.907,0.951
20180907_18,7.3,91.0,0.7,10.0,64.36,0.697
20180907_19,7.1,92.0,0.9,9.552,65.296,0.584
20180907_20,9.2,83.0,0.9,13.507,67.263,0.84
20180907_21,12.5,71.0,1.5,15.838,50.223,0.544
20180907_22,17.0,54.0,1.9,17.382,45.925,0.307
20180907_23,20.1,45.0,0.9,18.509,43.958,0.587
20180907_24,22.3,34.0,0.6,19.718,40.886,0.653
20180907_25,24.7,35.0,1.9,20.331,39.935,0.659
20180907_26,25.5,29.0,1.6,20.349,43.268,2.441
20180907_27,27.7,24.0,2.0,20.435,47.011,1.827
20180907_28,25.1,25.0,1.5,19.082,53.362,2.205
20180907_29,26.6,29.0,3.0,18.786,57.482,2.255
20180907_30,23.2,36.0,3.0,18.185,65.75,1.03
20180907_31,21.8,45.0,1.2,16.938,59.07,0.751
20180907_32,18.8,56.0,1.9,14.255,63.722,0.514
20180907_33,16.2,66.0,1.3,16.001,58.677,0.547
20180907_34,14.7,71.0,1.4,15.574,59.402,0.705
20180907_35,13.0,80.0,0.7,13.592,62.475,0.55
20180907_36,11.9,85.0,1.1,13.001,61.572,0.548
20180908_00,22.3,34.0,0.6,25.155,43.162,1.666
20180908_01,24.7,35.0,1.9,22.37,34.651,0.815
20180908_02,25.5,29.0,1.6,23.233,30.799,0.507
20180908_03,27.7,24.0,2.0,22.292,52.022,0.418
20180908_04,25.1,25.0,1.5,21.806,56.509,0.867
20180908_05,26.6,29.0,3.0,22.229,42.983,1.287
20180908_06,23.2,36.0,3.0,19.633,52.106,1.5
20180908_07,21.8,45.0,1.2,19.21,48.149,1.755
20180908_08,18.8,56.0,1.9,18.392,50.982,0.882
20180908_09,16.2,66.0,1.3,15.417,57.021,0.358
20180908_10,14.7,71.0,1.4,14.55,57.781,0.702
20180908_11,13.0,80.0,0.7,14.246,56.343,0.624
20180908_12,11.9,85.0,1.1,14.024,55.634,1.048
20180908_13,10.9,85.0,1.9,13.687,56.332,1.098
20180908_14,10.1,88.0,1.6,15.375,52.685,0.631
20180908_15,9.2,90.0,2.0,14.974,54.635,0.494
20180908_16,9.1,92.0,0.3,12.871,60.949,0.734
20180908_17,8.7,92.0,0.8,12.488,62.066,0.624
20180908_18,8.0,93.0,1.0,12.842,64.171,1.214
20180908_19,7.7,94.0,1.1,12.501,67.773,0.966
20180908_20,8.3,93.0,0.6,15.315,71.783,0.49
20180908_21,12.2,78.0,1.1,16.96,57.046,0.413
20180908_22,15.8,64.0,0.7,18.606,54.071,1.623
20180908_23,18.9,52.0,1.0,19.293,53.994,1.848
20180908_24,22.3,47.0,2.0,21.191,47.337,1.044
20180908_25,24.8,47.0,2.2,22.745,43.433,1.001
20180908_26,25.9,44.0,3.7,23.752,40.82,2.917
20180908_27,26.7,45.0,4.6,23.928,41.16,4.488
20180908_28,25.1,47.0,5.4,23.723,43.234,4.514
20180908_29,23.2,52.0,3.8,23.633,45.726,3.713
20180908_30,23.0,50.0,4.4,22.928,52.088,2.971
20180908_31,22.0,51.0,3.7,19.342,70.552,1.881
20180908_32,20.4,56.0,3.6,17.115,68.069,1.626
20180908_33,17.6,70.0,3.0,17.001,64.993,1.669
20180908_34,16.1,77.0,1.6,16.903,65.216,1.853
20180908_35,14.7,82.0,0.6,16.64,66.032,2.112
20180908_36,13.7,86.0,0.8,16.775,64.945,2.443
20180909_00,22.3,47.0,2.0,24.969,49.922,0.798
20180909_01,24.8,47.0,2.2,22.997,45.201,1.418
20180909_02,25.9,44.0,3.7,24.76,39.868,2.005
20180909_03,26.7,45.0,4.6,25.528,32.805,2.057
20180909_04,25.1,47.0,5.4,25.673,32.104,2.124
20180909_05,23.2,52.0,3.8,25.155,37.436,3.378
20180909_06,23.0,50.0,4.4,23.848,49.243,3.018
20180909_07,22.0,51.0,3.7,20.067,67.191,2.291
20180909_08,20.4,56.0,3.6,17.533,66.708,1.627
20180909_09,17.6,70.0,3.0,17.264,62.155,1.545
20180909_10,16.1,77.0,1.6,16.775,63.895,1.289
20180909_11,14.7,82.0,0.6,16.634,64.371,1.508
20180909_12,13.7,86.0,0.8,16.698,65.258,2.518
20180909_13,12.8,90.0,1.2,15.813,70.561,2.019
20180909_14,12.2,91.0,1.2,15.248,70.87,1.61
20180909_15,11.5,92.0,0.9,14.524,73.069,0.657
20180909_16,11.0,93.0,1.1,14.281,73.771,0.949
20180909_17,10.6,94.0,0.8,13.987,74.584,0.743
20180909_18,10.2,94.0,0.9,13.724,75.021,0.714
20180909_19,9.8,95.0,0.8,13.3,75.835,0.442
20180909_20,10.6,95.0,0.5,16.303,76.131,1.014
20180909_21,12.9,88.0,0.9,18.218,61.675,0.161
20180909_22,16.7,73.0,0.8,20.449,56.702,1.117
20180909_23,19.1,62.0,0.9,22.668,49.078,2.231
20180909_24,21.9,58.0,1.2,24.067,43.942,4.72
20180909_25,25.4,49.0,2.5,24.368,43.21,5.579
20180909_26,25.6,45.0,5.1,23.957,46.928,5.696
20180909_27,25.8,42.0,5.0,23.679,48.188,5.624
20180909_28,24.7,43.0,7.7,23.471,48.255,4.969
20180909_29,24.9,45.0,2.8,22.572,53.77,2.676
20180909_30,23.5,47.0,1.8,21.197,65.082,1.49
20180909_31,22.5,49.0,3.2,21.168,49.708,2.689
20180909_32,21.1,53.0,1.7,20.906,48.233,2.622
20180909_33,20.5,55.0,1.2,21.039,47.382,2.772
20180909_34,19.2,64.0,0.8,20.7,48.604,4.648
20180909_35,18.4,71.0,1.0,19.48,55.47,3.913
20180909_36,17.9,73.0,0.4,19.022,59.582,3.044
20180910_00,21.9,58.0,1.2,25.863,54.706,0.554
20180910_01,25.4,49.0,2.5,23.175,57.262,4.319
20180910_02,25.6,45.0,5.1,24.485,50.248,4.735
20180910_03,25.8,42.0,5.0,24.302,50.639,5.685
20180910_04,24.7,43.0,7.7,23.949,52.707,5.48
20180910_05,24.9,45.0,2.8,23.645,53.565,3.97
20180910_06,23.5,47.0,1.8,19.437,78.61,2.961
20180910_07,22.5,49.0,3.2,18.156,85.452,2.071
20180910_08,21.1,53.0,1.7,18.242,84.66,1.557
20180910_09,20.5,55.0,1.2,18.36,82.321,1.202
20180910_10,19.2,64.0,0.8,18.23,81.614,0.457
20180910_11,18.4,71.0,1.0,18.337,80.444,0.614
20180910_12,17.9,73.0,0.4,18.398,81.237,1.432
20180910_13,17.3,77.0,0.9,18.249,80.817,1.576
20180910_14,16.9,80.0,1.0,18.079,80.781,1.954
20180910_15,16.2,82.0,0.9,17.723,79.475,2.464
20180910_16,15.9,84.0,1.5,17.614,78.617,3.062
20180910_17,15.6,86.0,1.5,17.463,81.42,2.966
20180910_18,15.8,85.0,0.8,17.062,85.521,2.325
20180910_19,15.6,88.0,1.5,17.103,84.927,2.981
